open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-01-01 00:00:00,2.0835,2.1114,2.0808,2.1094,28952936.5,2025-01-01 00:59:59.999,60773621.90384,97538,16713545.3,35087680.95122,0
2025-01-01 01:00:00,2.1094,2.1104,2.0926,2.0935,17697521.7,2025-01-01 01:59:59.999,37180983.65374,67936,8085208.3,16990274.50493,0
2025-01-01 02:00:00,2.0936,2.1051,2.0921,2.1048,14422197.0,2025-01-01 02:59:59.999,30284807.60315,59538,7362740.4,15462119.82835,0
2025-01-01 03:00:00,2.1048,2.1078,2.0992,2.1061,8409075.1,2025-01-01 03:59:59.999,17687668.87452,43208,4405573.8,9267372.09772,0
2025-01-01 04:00:00,2.1062,2.112,2.099,2.102,15137035.0,2025-01-01 04:59:59.999,31861423.44766,62271,6589090.2,13869852.13076,0
2025-01-01 05:00:00,2.102,2.1484,2.0996,2.1349,44924527.7,2025-01-01 05:59:59.999,95651846.62396,128127,25502005.2,54288532.52728,0
2025-01-01 06:00:00,2.1348,2.1466,2.1292,2.1434,32629760.2,2025-01-01 06:59:59.999,69761202.04648,104581,15797017.1,33780790.51774,0
2025-01-01 07:00:00,2.1433,2.1434,2.1235,2.1241,19916442.2,2025-01-01 07:59:59.999,42474896.15957,76553,8062843.2,17199428.06015,0
2025-01-01 08:00:00,2.1242,2.1346,2.1074,2.1101,26621089.5,2025-01-01 08:59:59.999,56426292.00149,88379,11842274.4,25104822.06881,0
2025-01-01 09:00:00,2.1101,2.1161,2.09,2.1047,43829926.0,2025-01-01 09:59:59.999,92030312.33415,118908,21322311.8,44783727.45988,0
2025-01-01 10:00:00,2.1048,2.1176,2.1047,2.1085,21633238.9,2025-01-01 10:59:59.999,45652479.0091,72909,11523982.5,24320608.94035,0
2025-01-01 11:00:00,2.1085,2.1437,2.1012,2.1355,40787364.5,2025-01-01 11:59:59.999,86754147.25093,122311,20923507.9,44513811.24705,0
2025-01-01 12:00:00,2.1354,2.1736,2.1307,2.1672,57184769.4,2025-01-01 12:59:59.999,123307354.79176,170204,29519516.0,63655538.05487,0
2025-01-01 13:00:00,2.1672,2.1844,2.1581,2.1652,67620852.8,2025-01-01 13:59:59.999,146805533.67443,173278,32057188.6,69618188.33444,0
2025-01-01 14:00:00,2.1651,2.1852,2.16,2.1735,57337898.7,2025-01-01 14:59:59.999,124654758.56811,152337,30512738.6,66354176.07068,0
2025-01-01 15:00:00,2.1734,2.2342,2.1623,2.2275,93160536.1,2025-01-01 15:59:59.999,205169603.00158,227729,51434587.8,113278217.91685,0
2025-01-01 16:00:00,2.2275,2.283,2.2204,2.2633,161427933.2,2025-01-01 16:59:59.999,364525917.32282,395466,76384321.9,172526755.58895,0
2025-01-01 17:00:00,2.2633,2.2654,2.211,2.2585,114360216.4,2025-01-01 17:59:59.999,255951038.72633,264553,58383376.7,130639547.76246,0
2025-01-01 18:00:00,2.2585,2.3328,2.2476,2.3207,130059385.9,2025-01-01 18:59:59.999,298340479.47481,305921,69023123.2,158322830.87726,0
2025-01-01 19:00:00,2.3206,2.3418,2.2885,2.3171,113567640.1,2025-01-01 19:59:59.999,262725846.80315,275503,56244718.0,130170566.31016,0
2025-01-01 20:00:00,2.317,2.3192,2.2953,2.3062,44801780.0,2025-01-01 20:59:59.999,103359331.98911,150993,21721161.8,50119260.69741,0
2025-01-01 21:00:00,2.3061,2.3298,2.2854,2.3203,73977467.0,2025-01-01 21:59:59.999,170926121.28977,186687,35499119.6,82011362.05359,0
2025-01-01 22:00:00,2.3202,2.3547,2.2978,2.3488,58219411.8,2025-01-01 22:59:59.999,135372407.74876,156345,29768432.0,69256109.74641,0
2025-01-01 23:00:00,2.3489,2.3519,2.3134,2.3321,57147096.7,2025-01-01 23:59:59.999,133087553.33154,160748,27518289.0,64094752.65533,0
2025-01-02 00:00:00,2.3321,2.4518,2.3286,2.3888,221404919.7,2025-01-02 00:59:59.999,532966528.70906,528637,115838072.4,278757370.7247,0
2025-01-02 01:00:00,2.3888,2.4111,2.3712,2.4007,87824155.1,2025-01-02 01:59:59.999,210300664.78805,224963,47121011.6,112862834.50854,0
2025-01-02 02:00:00,2.4007,2.4164,2.3864,2.4046,54094096.5,2025-01-02 02:59:59.999,129879739.17319,159399,26753597.7,64242719.80322,0
2025-01-02 03:00:00,2.4047,2.4298,2.4002,2.4243,45802912.8,2025-01-02 03:59:59.999,110628253.55887,133032,24324260.7,58758027.19378,0
2025-01-02 04:00:00,2.4243,2.4282,2.398,2.3992,54873868.3,2025-01-02 04:59:59.999,132547522.21118,152499,25509137.1,61627803.88,0
2025-01-02 05:00:00,2.3992,2.4018,2.3647,2.373,68808338.0,2025-01-02 05:59:59.999,164118387.70441,191160,30060000.6,71745802.43608,0
2025-01-02 06:00:00,2.373,2.383,2.3442,2.3549,76331990.7,2025-01-02 06:59:59.999,180215912.08805,183451,33745777.4,79703334.03134,0
2025-01-02 07:00:00,2.355,2.3733,2.3482,2.3666,46231499.2,2025-01-02 07:59:59.999,109177019.51136,115024,27708114.4,65442666.94852,0
2025-01-02 08:00:00,2.3667,2.3839,2.3666,2.378,41081179.0,2025-01-02 08:59:59.999,97635033.30675,112338,22154671.9,52655295.50267,0
2025-01-02 09:00:00,2.378,2.4091,2.376,2.3998,55853941.0,2025-01-02 09:59:59.999,133814857.99499,141462,30118394.9,72139046.66205,0
2025-01-02 10:00:00,2.3998,2.4054,2.3834,2.395,43193983.5,2025-01-02 10:59:59.999,103413216.68876,126051,19831738.9,47487672.68921,0
2025-01-02 11:00:00,2.3951,2.4173,2.3868,2.4035,38546423.0,2025-01-02 11:59:59.999,92580497.10774,116381,19554042.9,46980419.96263,0
2025-01-02 12:00:00,2.4035,2.4224,2.3978,2.4071,44937424.5,2025-01-02 12:59:59.999,108232128.58816,118479,21323188.8,51364712.45197,0
2025-01-02 13:00:00,2.4071,2.4142,2.386,2.3913,49460385.5,2025-01-02 13:59:59.999,118674325.81005,124818,20237261.6,48562568.09902,0
