open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-01-01 00:00:00,3336.58,3364.5,3334.76,3362.9,68327.229,2025-01-01 00:59:59.999,229078577.34111,128259,41887.238,140435728.01191,0
2025-01-01 01:00:00,3362.89,3365.32,3341.18,3345.82,40083.238,2025-01-01 01:59:59.999,134424335.81729,96672,18969.926,63613675.75154,0
2025-01-01 02:00:00,3345.83,3368.02,3345.25,3361.81,41313.759,2025-01-01 02:59:59.999,138713440.08533,89727,23341.983,78367126.06519,0
2025-01-01 03:00:00,3361.81,3363.0,3350.23,3354.34,24803.739,2025-01-01 03:59:59.999,83241489.12452,65599,13395.447,44956192.01677,0
2025-01-01 04:00:00,3354.35,3355.77,3338.26,3339.94,54111.924,2025-01-01 04:59:59.999,181077278.34593,79342,24044.915,80468457.64998,0
2025-01-01 05:00:00,3339.93,3350.56,3339.13,3344.21,33959.083,2025-01-01 05:59:59.999,113631297.04655,62049,18553.826,62088327.77617,0
2025-01-01 06:00:00,3344.21,3347.33,3335.46,3345.66,31966.608,2025-01-01 06:59:59.999,106818919.35046,67238,14524.605,48547204.17223,0
2025-01-01 07:00:00,3345.66,3348.0,3338.31,3345.84,22582.048,2025-01-01 07:59:59.999,75494122.72495,51657,13383.921,44745610.64227,0
2025-01-01 08:00:00,3345.83,3348.0,3330.06,3335.57,46742.475,2025-01-01 08:59:59.999,156016294.53509,90842,20615.389,68806545.8594,0
2025-01-01 09:00:00,3335.56,3340.17,3312.62,3333.64,145735.708,2025-01-01 09:59:59.999,484439117.74608,185498,57349.79,190677916.35797,0
2025-01-01 10:00:00,3333.63,3338.05,3324.92,3325.99,37882.439,2025-01-01 10:59:59.999,126230301.09843,79368,16613.056,55372693.59116,0
2025-01-01 11:00:00,3326.0,3348.0,3322.68,3340.06,53315.44,2025-01-01 11:59:59.999,177880557.30325,94268,30692.613,102399098.98396,0
2025-01-01 12:00:00,3340.06,3351.57,3337.29,3346.0,44300.26,2025-01-01 12:59:59.999,148226395.6141,95647,21407.129,71636403.56698,0
2025-01-01 13:00:00,3346.0,3352.78,3330.98,3343.1,59127.65,2025-01-01 13:59:59.999,197453851.86144,116431,26457.816,88368265.69525,0
2025-01-01 14:00:00,3343.1,3359.09,3327.0,3345.19,95850.734,2025-01-01 14:59:59.999,320472876.78372,179748,48503.542,162213758.33122,0
2025-01-01 15:00:00,3345.19,3354.25,3332.0,3352.07,59525.611,2025-01-01 15:59:59.999,199053541.09389,126097,28493.824,95306183.21485,0
2025-01-01 16:00:00,3352.06,3356.78,3331.18,3337.74,57909.29,2025-01-01 16:59:59.999,193618144.67222,127967,25162.046,84149735.08696,0
2025-01-01 17:00:00,3337.74,3344.38,3321.11,3342.91,56432.884,2025-01-01 17:59:59.999,188038739.18595,127172,29150.902,97162459.77306,0
2025-01-01 18:00:00,3342.91,3351.48,3332.37,3347.8,41537.439,2025-01-01 18:59:59.999,138879028.53527,106994,19331.804,64649725.6501,0
2025-01-01 19:00:00,3347.8,3364.3,3337.5,3356.23,64013.166,2025-01-01 19:59:59.999,214552798.95413,133792,34773.357,116591112.88408,0
2025-01-01 20:00:00,3356.21,3361.76,3351.0,3359.18,44596.591,2025-01-01 20:59:59.999,149705797.32138,101334,19699.851,66137215.43471,0
2025-01-01 21:00:00,3359.18,3371.12,3352.0,3367.6,58859.648,2025-01-01 21:59:59.999,197865282.69177,107422,30049.416,101037640.24667,0
2025-01-01 22:00:00,3367.6,3374.14,3357.7,3360.55,50032.468,2025-01-01 22:59:59.999,168362304.74002,86055,20767.761,69901180.29765,0
2025-01-01 23:00:00,3360.54,3366.0,3352.0,3359.36,38270.409,2025-01-01 23:59:59.999,128483051.58612,96680,17977.985,60361280.97682,0
2025-01-02 00:00:00,3359.35,3399.77,3353.5,3389.12,142705.349,2025-01-02 00:59:59.999,482903324.55669,269449,77812.598,263347478.59916,0
2025-01-02 01:00:00,3389.11,3405.0,3375.84,3383.01,81972.971,2025-01-02 01:59:59.999,278014755.61506,172420,34697.521,117710782.77943,0
2025-01-02 02:00:00,3383.0,3398.0,3377.0,3397.89,40854.069,2025-01-02 02:59:59.999,138422639.1657,118359,23335.631,79077085.88305,0
2025-01-02 03:00:00,3397.89,3401.77,3386.67,3388.0,33251.725,2025-01-02 03:59:59.999,112783857.83331,92202,14806.326,50226312.84189,0
2025-01-02 04:00:00,3388.01,3427.7,3387.4,3417.81,132806.188,2025-01-02 04:59:59.999,453067283.12282,198576,75717.445,258333251.76726,0
2025-01-02 05:00:00,3417.8,3419.19,3402.44,3412.48,75237.874,2025-01-02 05:59:59.999,256676822.41914,135848,31384.006,107074310.84905,0
2025-01-02 06:00:00,3412.48,3415.73,3401.92,3410.2,43264.332,2025-01-02 06:59:59.999,147420288.82532,97573,21471.317,73161988.07125,0
